iter	Passed	Remaining
447	1116	1376
448	1118	1372
449	1119	1367
450	1120	1363
451	1121	1359
452	1122	1355
453	1123	1351
454	1125	1347
455	1127	1344
456	1134	1348
457	1137	1346
458	1140	1344
459	1142	1340
460	1150	1345
461	1151	1341
462	1153	1337
463	1154	1333
464	1155	1329
465	1156	1325
466	1157	1321
467	1165	1324
468	1169	1323
469	1172	1321
470	1178	1323
471	1179	1319
472	1181	1316
473	1183	1312
474	1184	1308
475	1185	1304
476	1186	1301
477	1200	1310
478	1209	1315
479	1211	1312
480	1212	1308
481	1214	1304
482	1215	1301
483	1216	1297
484	1217	1292
485	1221	1292
486	1225	1291
487	1230	1290
488	1233	1288
489	1236	1287
490	1237	1283
491	1241	1282
492	1246	1281
493	1249	1279
494	1251	1277
495	1253	1273
496	1254	1269
497	1255	1266
498	1257	1262
499	1258	1258
500	1259	1254
501	1260	1250
502	1261	1246
503	1262	1242
504	1267	1242
505	1268	1238
506	1269	1234
507	1270	1230
508	1271	1226
509	1272	1222
510	1273	1219
511	1274	1215
512	1276	1211
513	1277	1207
514	1280	1205
515	1284	1204
516	1286	1202
517	1289	1199
518	1290	1196
519	1291	1192
520	1295	1191
521	1297	1188
522	1299	1184
523	1300	1181
524	1301	1177
525	1302	1174
526	1303	1170
527	1305	1166
528	1305	1162
529	1306	1159
530	1311	1158
531	1314	1156
532	1317	1153
533	1319	1151
534	1320	1147
535	1321	1143
536	1325	1142
537	1327	1140
538	1328	1136
539	1329	1132
540	1330	1128
541	1331	1125
542	1332	1121
543	1333	1117
544	1334	1114
545	1335	1110
546	1336	1107
547	1339	1105
548	1344	1104
549	1346	1102
550	1349	1099
551	1350	1095
552	1351	1092
553	1352	1088
554	1353	1085
555	1354	1081
556	1355	1078
557	1356	1074
558	1357	1071
559	1358	1067
560	1359	1064
561	1360	1060
562	1361	1057
563	1365	1055
564	1371	1055
565	1375	1054
566	1376	1051
567	1377	1047
568	1380	1045
569	1381	1042
570	1383	1039
571	1384	1035
572	1385	1032
573	1386	1029
574	1387	1025
575	1388	1022
576	1389	1018
577	1392	1016
578	1394	1014
579	1399	1013
580	1401	1010
581	1403	1007
582	1404	1004
583	1410	1004
584	1412	1001
585	1413	998
586	1415	995
587	1416	992
588	1418	989
589	1419	986
590	1425	986
591	1429	985
592	1431	982
593	1440	984
594	1442	981
595	1444	979
596	1447	977
597	1449	974
598	1450	970
599	1453	969
600	1456	967
601	1460	965
602	1462	962
603	1463	959
604	1464	956
605	1468	954
606	1470	952
607	1471	948
608	1472	945
609	1473	942
610	1474	938
611	1475	935
612	1476	932
613	1477	929
614	1478	925
615	1479	922
616	1483	920
617	1489	920
618	1492	918
619	1493	915
620	1495	912
621	1500	911
622	1501	908
623	1502	905
624	1503	902
625	1504	899
